sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PPR   909822","2019 PPR   909822","","15/02/2019","**","","-360.00","0.00","NZD","0.00","2019","201907","PPR","909822 ITR","","22/01/2019","22/01/2019","ACE.006522801.0000002","2019.PPR.0909822","","0.00","","CG Invoices to be received account"
"","2019 PPR   918937","2019 PPR   918937","","15/03/2019","**","","-180.00","0.00","NZD","0.00","2019","201908","PPR","918937 ITR","","04/02/2019","04/02/2019","ACE.006528890.0000002","2019.PPR.0918937","","0.00","","CG Invoices to be received account"
"","2019 PPR   999201","2019 PPR   999201","","15/06/2019","**","","-191.00","0.00","NZD","0.00","2019","201911","PPR","999201 ITR","","08/05/2019","08/05/2019","ACE.006576842.0000002","2019.PPR.0999201","","0.00","","CG Invoices to be received account"
"","2019 PPR  1023440","2019 PPR  1023440","","15/07/2019","**","","-191.00","0.00","NZD","0.00","2019","201912","PPR","1023440 ITR","","04/06/2019","04/06/2019","ACE.006587729.0000004","2019.PPR.1023440","","0.00","","CG Invoices to be received account"
"","2019 PUR   227134","2019 PUR   227134","","15/05/2019","**","","-764.00","0.00","NZD","0.00","2019","201910","PUR","227134 VPA","","17/04/2019","30/04/2019","ACE.006550575.0000005","2019.PUR.0227134","","0.00","","CG Invoices to be received account"
"","2019 PUR   227134","2019 PUR   227134","","15/05/2019","**","","191.00","0.00","NZD","0.00","2019","201910","PUR","227134 VPA","","17/04/2019","30/04/2019","ACE.006550575.0000006","2019.PUR.0227134","","0.00","","CG Invoices to be received account"
"","2019 PUR   235101","2019 PUR   235101","","15/06/2019","**","","191.00","0.00","NZD","0.00","2019","201911","PUR","235101 VPA","","29/05/2019","31/05/2019","ACE.006550575.0000007","2019.PUR.0235101","","0.00","","CG Invoices to be received account"
"","2019 PUR   235101","2019 PUR   235101","","15/06/2019","**","","191.00","0.00","NZD","0.00","2019","201911","PUR","235101 VPA","","29/05/2019","31/05/2019","ACE.006550575.0000009","2019.PUR.0235101","","0.00","","CG Invoices to be received account"
"","2020 PPR  1230071","2020 PPR  1230071","","15/03/2020","**","","-191.00","0.00","NZD","0.00","2020","202008","PPR","1230071 ITR","","12/02/2020","12/02/2020","ACE.006711417.0000002","2020.PPR.1230071","","0.00","","CG Invoices to be received account"
"","2021 PPR  1287534","2021 PPR  1287534","","15/08/2020","**","","-191.00","0.00","NZD","0.00","2021","202101","PPR","1287534 ITR","","30/07/2020","30/07/2020","ACE.006741775.0000002","2021.PPR.1287534","","0.00","","CG Invoices to be received account"
"","2021 PPR  1287651","2021 PPR  1287651","","15/08/2020","**","","-191.00","0.00","NZD","0.00","2021","202101","PPR","1287651 ITR","","30/07/2020","30/07/2020","ACE.006741930.0000002","2021.PPR.1287651","","0.00","","CG Invoices to be received account"
"","2021 PPR  1293983","2021 PPR  1293983","","15/09/2020","**","","-191.00","0.00","NZD","0.00","2021","202102","PPR","1293983 ITR","","12/08/2020","12/08/2020","ACE.006745791.0000002","2021.PPR.1293983","","0.00","","CG Invoices to be received account"
"","2021 PPR  1310575","2021 PPR  1310575","","15/10/2020","**","","-191.00","0.00","NZD","0.00","2021","202103","PPR","1310575 ITR","","30/09/2020","30/09/2020","ACE.006754924.0000002","2021.PPR.1310575","","0.00","","CG Invoices to be received account"
"","2021 PPR  1310577","2021 PPR  1310577","","15/10/2020","**","","-191.00","0.00","NZD","0.00","2021","202103","PPR","1310577 ITR","","30/09/2020","30/09/2020","ACE.006754931.0000002","2021.PPR.1310577","","0.00","","CG Invoices to be received account"
"","2021 PPR  1319563","2021 PPR  1319563","","15/11/2020","**","","-191.00","0.00","NZD","0.00","2021","202104","PPR","1319563 ITR","","20/10/2020","20/10/2020","ACE.006760397.0000002","2021.PPR.1319563","","0.00","","CG Invoices to be received account"
"","2021 PPR  1326714","2021 PPR  1326714","","15/12/2020","**","","-191.00","0.00","NZD","0.00","2021","202105","PPR","1326714 ITR","","03/11/2020","03/11/2020","ACE.006764529.0000002","2021.PPR.1326714","","0.00","","CG Invoices to be received account"
"","2021 PPR  1344799","2021 PPR  1344799","","15/01/2021","**","","-191.00","0.00","NZD","0.00","2021","202106","PPR","1344799 ITR","","08/12/2020","08/12/2020","ACE.006775240.0000002","2021.PPR.1344799","","0.00","","CG Invoices to be received account"
